,Random Numbers,prices
0,2274,492086.6438356164
1,1542,393191.4383561644
2,3285,628675.5136986302
3,2639,541399.1438356164
4,1302,360766.7808219178
5,1554,394812.6712328767
6,3934,716357.1917808219
7,3714,686634.5890410959
8,3336,635565.7534246575
9,1881,438991.26712328766
10,1330,364549.65753424657
11,3753,691903.595890411
12,2160,476684.9315068493
13,1861,436289.2123287671
14,1984,452906.84931506845
15,3596,670692.4657534247
16,2291,494383.3904109589
17,3219,619758.7328767123
18,2327,499247.08904109587
19,2956,584226.7123287672
20,3633,675691.2671232877
21,3455,651642.9794520547
22,3586,669341.4383561644
23,1271,356578.59589041094
24,2354,502894.8630136986
25,1768,423724.65753424657
26,3934,716357.1917808219
27,3455,651642.9794520547
28,1124,336718.49315068487
29,3879,708926.5410958903
30,2543,528429.2808219178
31,1828,431830.8219178082
32,1198,346716.09589041094
33,1826,431560.6164383561
